id,price_doc
26,140000
30,4908975.7957
35,140000
39,2908279.5771
48,2515463.2927
72,9444770.9062
98,4108461.2227
102,140000
105,2165564.61
110,12343387.049
121,6487061.7814
123,140000
125,18213297.406
127,6758352.9758
131,3072411.8431
146,140000
148,21858416.859
151,2044273.7169
173,3483667.9879
175,140000
190,3644518.1852
207,140000
220,9991049.4925
222,140000
223,15070893.521
225,3894764.7004
228,2237953.9683
233,4338820.0329
239,5935878.1931
240,140000
247,140000
253,9145977.181
257,5330002.034
258,5119701.5612
270,140000
273,140000
277,5655702.6385
285,5613358.0992
297,6985814.6654
300,4092930.4898
317,8972801.0586
337,4952365.9825
338,7523277.9932
343,3233772.5837
348,6382298.44
350,140000
359,140000
360,4008958.85
364,5496720.2619
365,13177478.22
366,11559903.105
370,140000
380,140000
387,5683837.6285
401,140000
402,2159651.7095
403,140000
411,140000
416,140000
418,4538109.5724
425,140000
444,140000
450,3965638.7027
452,4836987.9899
455,33036165.471
467,140000
468,5965358.3139
479,140000
481,140000
486,2883329.2801
496,140000
500,4769243.2916
502,5375036.2447
505,3896612.3941
509,140000
512,140000
519,140000
530,140000
531,4685361.6172
549,3337927.9268
558,140000
564,5213430.2213
569,2835055.2621
576,140000
586,1470048.9693
590,140000
592,140000
596,140000
605,5830029.9678
606,140000
608,9485368.1792
619,4789412.9706
621,140000
622,140000
624,8424624.0095
627,140000
634,6303104.625
642,140000
643,140000
646,11427551.808
648,4752933.7473
653,4139309.347
658,12998587.94
660,6078358.0197
666,14189805.501
671,8167750.5177
675,4192515.4654
677,6701419.9613
689,6294699.8741
692,3913316.3376
699,13117547.024
707,5915361.9243
711,10076684.91
718,8458887.3705
719,14189709.63
727,21287734.23
743,1860717.1015
749,140000
751,3878106.315
755,8610289.8555
764,4092930.4898
776,140000
783,140000
806,140000
809,14162377.311
815,140000
823,140000
825,8460113.9844
831,16210222.196
836,140000
841,140000
843,5667399.7113
850,4309755.855
852,140000
861,8205655.1802
879,140000
887,4653431.3746
906,6058188.3407
912,140000
916,3396584.4603
919,9498744.8837
920,8261727.7267
923,140000
925,140000
927,140000
944,5217922.3474
952,13084223.358
954,140000
959,2753838.6617
964,140000
967,6408646.6103
976,4139309.347
982,3210527.038
1002,4470537.4423
1019,6014937.5804
1022,3602196.6874
1023,140000
1028,3186283.9875
1034,3602292.3906
1036,140000
1039,140000
1041,140000
1042,13278496.503
1048,15924918.492
1052,9924674.914
1064,140000
1067,7413159.3943
1071,140000
1075,4713682.2646
1076,140000
1077,3911912.7518
1079,12165779.264
1082,4718639.0594
1088,140000
1090,3694347.5083
